epoch,train_loss,val_loss,train_acc,test_acc
71,0.07891696862771612,0.35997985988855363,97.256,90.75
72,0.07488782987798877,0.36388819307088854,97.314,91.1
73,0.07677989809409431,0.3653789555281401,97.304,90.66
74,0.07982017303747899,0.3126492854952812,97.266,91.69
75,0.07471520292198719,0.333976406827569,97.384,91.41
76,0.07304225301565341,0.3757453992962837,97.408,90.11
77,0.07305024507815194,0.3571925573050976,97.384,90.7
78,0.07639699434513783,0.28882932644337417,97.334,92.58
79,0.0761034822024767,0.3687132816016674,97.316,90.64
80,0.06990273150108049,0.37901259668171405,97.58,90.94
81,0.07654339618637891,0.3308936759829521,97.284,91.42
82,0.07281375371272225,0.3164933815598488,97.492,91.76
83,0.07218638185383108,0.3456042564287782,97.542,90.99
84,0.07016743538077072,0.34710406489670276,97.548,91.14
85,0.07469870858466077,0.3271873439848423,97.458,91.61
86,0.07724097496389276,0.32887194320559504,97.32,91.24
87,0.0782173006388042,0.3414506629854441,97.222,91.07
88,0.07330268367772441,0.3937026199698448,97.446,90.02
89,0.06932978211042216,0.3610522350668907,97.6,91.11
90,0.07002244195293474,0.38499182894825934,97.552,90.13
91,0.07519877445467217,0.3546334618330002,97.384,90.94
92,0.07316704117752554,0.3261042485386133,97.486,91.36
93,0.06865143153787878,0.3437133027613163,97.512,90.94
94,0.07206660612960301,0.3469664011895657,97.478,91.02
95,0.07223856348134673,0.35692024752497675,97.458,91.24
96,0.07473754299485394,0.3683062070608139,97.334,90.95
97,0.07400884737482157,0.34234155878424644,97.482,91.26
98,0.07234738798588133,0.373300509005785,97.528,90.6
99,0.08218526291420393,0.33654076993465426,97.174,91.16
100,0.06945853808518414,0.32866823218762875,97.568,91.39
101,0.07093218316698013,0.38168052442371847,97.508,90.75
102,0.07566121536904893,0.32463901162147524,97.446,91.41
103,0.07454788937088093,0.3325722870975733,97.404,91.48
104,0.07494002561587507,0.3561630633473396,97.382,90.87
105,0.07164328668476141,0.37050303392112255,97.464,90.72
106,0.07284109358487607,0.3975278227031231,97.468,90.29
107,0.07732029018156669,0.33503249563276766,97.254,91.5
108,0.07215101422641969,0.3863821357488632,97.486,90.03
109,0.0715384438295689,0.37931250154972074,97.522,90.48
110,0.07864889905066288,0.36592324912548063,97.342,90.2
111,0.07244923273744562,0.337919495254755,97.548,91.12
112,0.07321577961497067,0.3214685604721308,97.428,91.51
113,0.07566285314147964,0.3416486740857363,97.362,91.47
114,0.07221090145494856,0.43139508977532387,97.506,89.56
115,0.07403160789100181,0.3339950908720493,97.404,91.04
116,0.07032654017371975,0.3423089708387852,97.532,90.95
117,0.07594541742530701,0.3299997479468584,97.372,91.56
118,0.06751826015131934,0.3425947815924883,97.67,91.1
119,0.07616596157564913,0.3684709870815277,97.3,90.44
120,0.07967279441988148,0.3897489129751921,97.206,90.1
121,0.07115977019062052,0.35928282856941224,97.552,91.0
122,0.07937825456395022,0.364444335103035,97.178,90.54
123,0.07668289204325784,0.3495221295952797,97.344,90.86
124,0.06856000659418056,0.31425156570971013,97.62,91.54
125,0.07389919153031181,0.41304159961640835,97.402,89.88
126,0.07447337428503253,0.36120994433760645,97.418,90.97
127,0.07655767968062625,0.395458837300539,97.242,89.97
128,0.08216899756551779,0.35430590867996214,97.064,90.96
129,0.0737244472112459,0.34576282680034637,97.418,91.01
130,0.07202999541462135,0.31460867062211034,97.506,91.68
131,0.0727672694069917,0.3236385653167963,97.512,91.49
132,0.08259314603512855,0.2943135891109705,97.156,91.51
133,0.07465691315224561,0.38189000226557257,97.378,90.25
134,0.07732561923553953,0.342315656542778,97.316,91.15
135,0.06958580041385215,0.35336130142211913,97.66,90.9
136,0.07260556878936489,0.34788251131772996,97.48,91.19
137,0.07795467479702305,0.3288574955612421,97.254,91.58
138,0.07334077090282193,0.3775335258245468,97.4,90.67
139,0.07262795742677378,0.3530840998888016,97.528,91.22
140,0.07583024020275801,0.3519408516585827,97.394,90.73
141,0.07826092617724405,0.31342680640518666,97.234,91.81
142,0.06622517994983727,0.3277136667072773,97.686,91.58
143,0.0693608734428006,0.3436979113519192,97.628,91.31
144,0.07287693010581195,0.3195324608683586,97.526,91.47
145,0.07268912111030286,0.3103330828994513,97.472,92.0
146,0.07378887583780319,0.3269047036021948,97.474,91.58
147,0.07977305002310468,0.31106399223208425,97.256,92.02
148,0.07340740456300623,0.3799191451817751,97.42,90.5
149,0.06878509987955508,0.34852385230362415,97.538,91.36
150,0.028674031210624996,0.23227931387722492,99.068,93.76
151,0.01440608332021748,0.22775329142808914,99.632,93.97
152,0.010719883195517579,0.2254903020709753,99.768,94.22
153,0.008636280681992717,0.22860073618590832,99.806,94.19
154,0.0066781406238129665,0.22290143419057132,99.882,94.36
155,0.006314496309651286,0.2255843624100089,99.896,94.41
156,0.00536684500431056,0.2239578703418374,99.938,94.38
157,0.005439085609582074,0.22722223579883574,99.914,94.43
158,0.004743201546775906,0.22483035853132605,99.926,94.46
159,0.004308458620115467,0.2257229758054018,99.946,94.51
160,0.004205496487495921,0.22904117953032255,99.94,94.52
161,0.004102996525937058,0.22839876979589463,99.946,94.5
162,0.00363636068771105,0.2258925100043416,99.952,94.62
163,0.0035194456764875586,0.2265006399899721,99.958,94.6
164,0.0035836323887309834,0.2270446862280369,99.944,94.65
165,0.0028525268372572255,0.229242150709033,99.968,94.6
166,0.0031709483585884925,0.22897211872041226,99.954,94.61
167,0.002739365441504928,0.22568635296076536,99.97,94.67
168,0.0027836590413274505,0.22559878431260585,99.974,94.6
169,0.002733721721457684,0.22802953734993936,99.966,94.55
170,0.0023799756943198194,0.2261371863260865,99.98,94.53
171,0.0025998486801112534,0.22631481612101198,99.97,94.56
172,0.0023368724773380704,0.2309805960766971,99.978,94.57
173,0.0022679772189296687,0.23126486292108894,99.984,94.49
174,0.002216509465575385,0.22854241712018847,99.982,94.6
175,0.0022124845481416937,0.22730312395840882,99.978,94.52
176,0.0019635660885720064,0.23066943649202584,99.986,94.52
177,0.0020500815489798035,0.2283250629156828,99.982,94.52
178,0.0018831625670257747,0.230939189940691,99.986,94.46
179,0.0019304513691744678,0.23028728753328323,99.978,94.52
180,0.001691539402772158,0.23204045373946428,99.994,94.58
181,0.0018004370183619025,0.231504837423563,99.988,94.59
182,0.0017742741349971404,0.2317962494492531,99.988,94.6
183,0.0016579946206496728,0.23277688406407834,99.994,94.67
184,0.0018557698534623854,0.22854663100093603,99.98,94.67
185,0.001629063717672861,0.23157590117305518,99.982,94.63
186,0.0016131478805711868,0.2325044349208474,99.994,94.65
187,0.001662448259761862,0.23243556533008813,99.986,94.53
188,0.0016262191986424557,0.23332073472440243,99.988,94.66
189,0.001526378511051919,0.23203982919454574,99.994,94.64
190,0.0015029693957637933,0.23196369770914316,99.994,94.66
191,0.0014413917717292233,0.22924320258200168,99.992,94.64
192,0.0013710776877412668,0.23150311786681413,99.998,94.74
